"Interface","Description"
"target:name","Get the name of the target"
"target:get","Get the values of the target by name"
"target:set","Set the values of the target by name"
"target:add","Add to the values of the target by name"
"target:kind","Get the target program type"
"target:is_plat","Whether the current platform is one of the given platforms"
"target:is_arch","Is the current architecture one of the given architectures"
"target:targetfile","Get the target file path"
"target:targetdir","Get the output directory of the target file"
"target:basename","Get the base name of the target file"
"target:filename","Get the target file name"
"target:installdir","Get the installation directory of the target file"
"target:autogendir","Get auto-generated catalog"
"target:objectfile","Get the object file path"
"target:sourcebatches","Get all source files"
"target:objectfiles","Get a list of all object files"
"target:headerfiles","Get a list of all header files"
"target:scriptdir","Get the xmake.lua directory where the target definition is located"
"target:has_cxxfuncs","Check whether the target compilation configuration can obtain the given C++ function"
"target:has_ctypes","Check whether the target compilation configuration can obtain the given C type"
"target:has_cxxtypes","Check whether the target compilation configuration can get the given C++ type"
"target:has_cflags","Check whether the target compilation configuration can obtain the given C compilation flags"
"target:has_cxxflags","Check whether the target compilation configuration can obtain the given C++ compilation flags"
"target:has_cincludes","Check whether the target compilation configuration can obtain the given C header file"
"target:has_cxxincludes","Check whether the target compilation configuration can obtain the given C++ header file"
"target:check_csnippets","Detect whether a given piece of C code can be compiled and linked"
"target:check_cxxsnippets","Detect if a given piece of C++ code can be compiled and linked"
"target:check_sizeof","Detect type size"
"target:has_features","Detect if specified C/C++ compiler feature"
