"Module","Description"
"import","Import extension blocks"
"inherit","Import and inherit base class modules"
"try-catch-finally","Exception capture"
"pairs","Traverse dictionaries"
"ipairs","Traverse arrays"
"print","Print to terminal"
"printf","No line print to terminal"
"cprint","Color print to terminal"
"cprintf","No line color print to terminal"
"format","Format a string"
"vformat","Format strings with built-in variable escaping"
"raise","Throw an abort"
"os","The system operation module"
"winos","The Windows system operation module"
"macos","The macOS system operation module"
"linuxos","The Linux system operation module"
"io","IO operation module"
"path","Path operation module"
"table","Lua table module"
"string","Lua string module"
"signal","Signal registration module"
