"Section","Description"
"Conditions","Controls conditional logic in build scripts"
"Global Interfaces","Applies configurations across the entire project"
"Helper Interfaces","Provides utility functions for scripting"
"Project Target","Defines build outputs like executables or libraries"
"Configuration Option","Specifies customizable build parameters"
"Plugin and Task","Adds custom commands or automates tasks"
"Custom Rule","Defines reusable build behaviors"
"Custom Toolchain","Specifies compilers and tools for building"
"Package Dependencies","Manages external libraries and dependencies"
"Builtin Variables","Predefined variables available in scripts"
"XPack Interfaces","Configures packaging of build artifacts"
