"Interface","Description"
"$(os)","Get the operating system of the current build platform"
"$(host)","Get native operating system"
"$(tmpdir)","Get Temporary Directory"
"$(curdir)","Get current directory"
"$(buildir)","Get the build output directory"
"$(scriptdir)","Get Project Description Script Directory"
"$(globaldir)","Get Global Configuration Directory"
"$(configdir)","Get Local Project Configuration Directory"
"$(programdir)","xmake installation script directory"
"$(projectdir)","Get the project root directory"
"$(shell)","Execute external shell command"
"$(env)","Get external environment variables"
"$(reg)","Get the value of the windows registry configuration item"
