"Interface", "Description"
"includes", "Add sub-project files and directories"
"set_project", "Set the whole project name"
"set_version", "Set project version"
"set_xmakever", "Set minimal xmake version"
"add_moduledirs", "Add module directories"
"add_plugindirs", "Add plugin directories"
"get_config", "Get the configuration value"
"set_config", "Set the default configuration value"
"add_requires", "Add the required dependency packages"
"add_requireconfs", "Set the configuration of the specified dependent package"
"add_repositories", "Add 3rd package repositories"
"set_defaultplat", "Set the default compilation platform"
"set_defaultarchs", "Set the default compilation architecture"
"set_defaultmode", "Set the default compilation mode"
"set_allowedplats", "Set the list of platforms allowed to compile"
"set_allowedarchs", "Set the platform architecture that allows compilation"
"set_allowedmodes", "Set the list of allowed compilation modes"
"namespace", "Enter the namespace"
"namespace_end", "End the current namespace"
