"Interface", "Description"
"configvar_check_links", "Check links"
"configvar_check_ctypes", "Detect C type"
"configvar_check_cxxtypes", "Detect C++ type"
"configvar_check_cfuncs", "Detect C functions"
"configvar_check_cxxfuncs", "Detect C++ functions"
"configvar_check_cincludes", "Detect C header files"
"configvar_check_cxxincludes", "Detect C++ header files"
"configvar_check_csnippets", "Detect C code snippets"
"configvar_check_cxxsnippets", "Detect C++ code snippets"
"configvar_check_features", "Detect compiler features"
"configvar_check_macros", "Detect built-in macro definitions"
"check_sizeof", "Detect type size"
"check_bigendian", "Detect big-endian"
