"Interface", "Description"
"option", "Defining options"
"option_end", "End definition option"
"option:add_deps", "Adding options depends"
"option:before_check", "Execute this script before option detection"
"option:on_check", "Custom Option Detection Script"
"option:after_check", "Execute this script after option detection"
"option:set_values", "Setting the list of option values"
"option:set_default", "Setting options defaults"
"option:set_showmenu", "Set whether to enable menu display"
"option:set_category", "Setting option categories, only for menu display"
"option:set_description", "Setting menu display description"
"option:add_links", "Add Link Library Detection"
"option:add_linkdirs", "Adding the search directory needed for link library detection"
"option:add_rpathdirs", "Adding a load search directory for a dynamic library at runtime"
"option:add_cincludes", "Add C header file detection"
"option:add_cxxincludes", "Add C++ header file detection"
"option:add_ctypes", "Add C type detection"
"option:add_cxxtypes", "Add C++ type detection"
"option:add_csnippets", "Add C code fragment detection"
"option:add_cxxsnippets", "Adding C++ code snippet detection"
"option:add_cfuncs", "Add C library function detection"
"option:add_cxxfuncs", "Add C++ library function detection"
