"Interface","Description"
"toolchain","Define Toolchain"
"set_kind","Set toolchain type"
"set_toolset","Set toolset"
"set_sdkdir","Set toolchain sdk directory path"
"set_bindir","Set toolchain bin directory path"
"on_check","Check toolchain"
"on_load","Load Toolchain"
"toolchain_end","End defining toolchain"
"add_includedirs","Add header file search directory"
"add_defines","Add Macro Definition"
"add_undefines","Cancel macro definition"
"add_cflags","Add c compilation option"
"add_cxflags","Add c/c++ compilation options"
"add_cxxflags","Add c++ compilation options"
"add_mflags","Add objc compilation option"
"add_mxflags","Add objc/objc++ compilation options"
"add_mxxflags","Add objc++ compilation options"
"add_scflags","Add swift compilation options"
"add_asflags","Add assembly compilation options"
"add_gcflags","Add go compilation options"
"add_dcflags","Add dlang compilation options"
"add_rcflags","Add rust compilation option"
"add_cuflags","Add cuda compilation options"
"add_culdflags","Add cuda device link option"
"add_ldflags","Add link options"
"add_arflags","Add static library archive option"
"add_shflags","Add dynamic library link option"
"add_languages","Add language standards"
"add_frameworks","Add Link Frame"
"add_frameworkdirs","Add Link Framework"
