"Interface", "Description"
"target", "Define a project target"
"target_end", "End target definition"
"target:set_kind", "Set target kind"
"target:set_strip", "Strip target symbols"
"target:set_enabled", "Enable or disable target"
"target:set_default", "Mark as default target"
"target:set_options", "Set configuration options"
"target:set_symbols", "Set symbol info"
"target:set_basename", "Set the base name of target file"
"target:set_filename", "Set the full name of target file"
"target:set_prefixname", "Set the leading name of the target file"
"target:set_suffixname", "Set the postname of the target file"
"target:set_extension", "Set the extension of the target file"
"target:set_warnings", "Set compilation warning level"
"target:set_optimize", "Set competition optimization level"
"target:set_languages", "Set source code language standards"
"target:set_fpmodels", "Set float-point compilation mode"
"target:set_targetdir", "Set output directories for target files"
"target:set_objectdir", "Set output directories for object files"
"target:set_dependir", "Set output directories for dependent files"
"target:add_imports", "Add imports modules for the custom script"
"target:add_rules", "Add custom compilation rule to target"
"target:on_load", "Run custom load target configuration script"
"target:on_config", "Custom configuration script"
"target:on_link", "Run custom link target script"
"target:on_build", "Run custom build target script"
"target:on_build_file", "Run custom build single file script"
"target:on_build_files", "Run custom build files script"
"target:on_clean", "Run custom clean files script"
"target:on_package", "Run custom package target script"
"target:on_install", "Run custom install target file script"
"target:on_uninstall", "Run custom uninstall target file script"
"target:on_run", "Run custom run target script"
"target:before_link", "Run custom script before linking target"
"target:before_build", "Run custom script before building target"
"target:before_build_file", "Run custom script before building single file"
"target:before_build_files", "Run custom script before building files"
"target:before_clean", "Run custom script before cleaning target"
"target:before_package", "Run custom script before packaging target"
"target:before_install", "Run custom script before installing target"
"target:before_uninstall", "Run custom script before uninstalling target"
"target:before_run", "Run custom script before running target"
"target:after_link", "Run custom script after linking target"
"target:after_build", "Run custom script after building target"
"target:after_build_file", "Run custom script after building single file"
"target:after_build_files", "Run custom script after building files"
"target:after_clean", "Run custom script after cleaning target"
"target:after_package", "Run custom script after packaging target"
"target:after_install", "Run custom script after installing target"
"target:after_uninstall", "Run custom script after uninstalling target"
"target:after_run", "Run custom script after running target"
"target:set_pcheader", "Set pre-compiled c header file"
"target:set_pcxxheader", "Set pre-compiled c++ header file"
"target:set_pmheader", "Set pre-compiled objc header file"
"target:set_pmxxheader", "Set pre-compiled objc++ header file"
"target:add_deps", "Add target dependencies"
"target:add_links", "Add link libraries"
"target:add_syslinks", "Add system link libraries"
"target:add_linkorders", "Adjust link order"
"target:add_linkgroups", "Add link group"
"target:add_files", "Add source files"
"target:remove_files", "Remove source files"
"target:remove_headerfiles", "Remove header files"
"target:add_linkdirs", "Add link search directories"
"target:add_rpathdirs", "Add load search directories for dynamic libraries"
"target:add_includedirs", "Add include search directories"
"target:add_sysincludedirs", "Add system header file search directory"
"target:add_defines", "Add macro definition"
"target:add_undefines", "Add macro undefinition"
"target:add_cflags", "Add c compilation flags"
"target:add_cxflags", "Add c/c++ compilation flags"
"target:add_cxxflags", "Add c++ compilation flags"
"target:add_mflags", "Add objc compilation flags"
"target:add_mxflags", "Add objc/objc++ compilation flags"
"target:add_mxxflags", "Add objc++ compilation flags"
"target:add_scflags", "Add swift compilation flags"
"target:add_asflags", "Add asm compilation flags"
"target:add_gcflags", "Add go compilation flags"
"target:add_dcflags", "Add dlang compilation flags"
"target:add_rcflags", "Add rust compilation flags"
"target:add_fcflags", "Add fortran compilation flags"
"target:add_zcflags", "Add zig compilation flags"
"target:add_cuflags", "Add cuda compilation flags"
"target:add_culdflags", "Add cuda device link flags"
"target:add_cugencodes", "Add gencode settings for cuda devices"
"target:add_ldflags", "Add static library link flags"
"target:add_arflags", "Add archive library flags"
"target:add_shflags", "Add dynamic library link flags"
"target:add_options", "Add option dependencies"
"target:add_packages", "Add package dependencies"
"target:add_languages", "Add language standards"
"target:add_vectorexts", "Add vector extensions"
"target:add_frameworks", "Add frameworks"
"target:add_frameworkdirs", "Add framework search directories"
"target:set_toolset", "Set toolset"
"target:set_toolchains", "Set up the toolchain"
"target:set_plat", "Set the compilation platform for the specified target"
"target:set_arch", "Set the compilation architecture of the specified target"
"target:set_values", "Set custom configuration values"
"target:add_values", "Add custom configuration values"
"target:set_rundir", "Set the running directory"
"target:set_runargs", "Set the list of run parameters"
"target:add_runenvs", "Add runtime environment variables"
"target:set_runenv", "Set the runtime environment variable"
"target:set_installdir", "Set the installation directory"
"target:set_prefixdir", "Set the installation prefix subdirectory"
"target:add_installfiles", "Add installation files"
"target:add_headerfiles", "Add header files"
"target:set_configdir", "Set the output directory of configuration files"
"target:set_configvar", "Set template configuration variables"
"target:add_configfiles", "Add template configuration files"
"target:set_policy", "Set build policy"
"target:set_runtimes", "Set the runtime library of the compilation target"
"target:set_group", "Set target group"
"target:add_filegroups", "Add Source file groups"
"target:set_exceptions", "Enabling or disabling exceptions"
"target:set_encodings", "Set encodings"
"target:add_forceincludes", "Force includes"
"target:add_extrafiles", "Add Extra Files"
"target:add_tests", "Add test case"
